,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
27,-1,110.0,5,1,1,2,4,2,1,103.3,174.6,64.6,59.8,2535,3,1,122,2,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0
28,3,145.0,5,1,2,1,2,2,1,95.9,173.2,66.3,50.2,2811,3,1,156,3,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0
29,2,137.0,6,1,1,1,2,2,1,86.6,144.6,63.9,50.8,1713,3,1,92,4,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0
30,2,137.0,6,1,1,1,2,2,1,86.6,144.6,63.9,50.8,1819,3,1,92,4,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0
31,1,101.0,6,1,1,1,2,2,1,93.7,150.0,64.0,52.6,1837,3,1,79,4,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0
32,1,101.0,6,1,1,1,2,2,1,93.7,150.0,64.0,52.6,1940,3,1,92,4,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0
33,1,101.0,6,1,1,1,2,2,1,93.7,150.0,64.0,52.6,1956,3,1,92,4,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0
34,0,110.0,6,1,1,2,3,2,1,96.5,163.4,64.0,54.5,2010,3,1,92,4,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0
35,0,78.0,6,1,1,2,4,2,1,96.5,157.1,63.9,58.3,2024,3,1,92,4,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0
36,0,106.0,6,1,1,1,2,2,1,96.5,167.5,65.2,53.3,2236,3,1,110,4,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0
37,0,106.0,6,1,1,1,2,2,1,96.5,167.5,65.2,53.3,2289,3,1,110,4,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0
38,0,85.0,6,1,1,2,3,2,1,96.5,175.4,65.2,54.1,2304,3,1,110,4,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0
39,0,85.0,6,1,1,2,3,2,1,96.5,175.4,62.5,54.1,2372,3,1,110,4,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0
40,0,85.0,6,1,1,2,3,2,1,96.5,175.4,65.2,54.1,2465,3,1,110,1,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0
41,1,107.0,6,1,1,1,3,2,1,96.5,169.1,66.0,51.0,2293,3,1,110,2,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0
42,0,115.0,7,1,1,2,3,1,1,94.3,170.7,61.8,53.5,2337,3,1,111,2,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0
45,2,115.0,7,1,1,1,2,1,1,96.0,172.6,65.2,51.4,2734,3,1,119,5,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0
46,0,145.0,8,1,1,2,3,1,1,113.0,199.6,69.6,52.8,4066,1,2,258,1,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0
47,0,115.0,8,1,1,2,3,1,1,113.0,199.6,69.6,52.8,4066,1,2,258,1,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0
48,0,115.0,8,1,1,1,3,1,1,102.0,191.7,70.6,47.8,3950,2,5,326,1,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0
49,1,104.0,9,1,1,1,2,2,1,93.1,159.1,64.2,54.1,1890,3,1,91,2,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0
50,1,104.0,9,1,1,1,2,2,1,93.1,159.1,64.2,54.1,1900,3,1,91,2,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0
51,1,104.0,9,1,1,1,2,2,1,93.1,159.1,64.2,54.1,1905,3,1,91,2,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0
52,1,113.0,9,1,1,2,3,2,1,93.1,166.8,64.2,54.1,1945,3,1,91,2,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0
53,1,113.0,9,1,1,2,3,2,1,93.1,166.8,64.2,54.1,1950,3,1,91,2,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0
58,1,129.0,9,1,1,1,2,2,1,98.8,177.8,66.5,53.7,2385,3,1,122,2,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0
59,0,115.0,9,1,1,2,3,2,1,98.8,177.8,66.5,55.5,2410,3,1,122,2,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0
60,1,129.0,9,1,1,1,2,2,1,98.8,177.8,66.5,53.7,2385,3,1,122,2,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0
61,0,115.0,9,1,1,2,3,2,1,98.8,177.8,66.5,55.5,2410,3,1,122,2,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0
62,0,115.0,9,2,1,3,3,2,1,98.8,177.8,66.5,55.5,2443,3,1,122,7,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0
63,0,115.0,9,1,1,2,2,2,1,98.8,177.8,66.5,55.5,2425,3,1,122,2,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0
64,0,118.0,9,1,1,2,3,1,1,104.9,175.0,66.1,54.4,2670,3,1,140,1,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0
65,0,115.0,9,2,1,2,3,1,1,104.9,175.0,66.1,54.4,2700,3,1,134,7,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0
66,-1,93.0,10,2,2,2,3,1,1,110.0,190.9,70.3,56.5,3515,3,3,183,7,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0
67,-1,93.0,10,2,2,2,4,1,1,110.0,190.9,70.3,58.7,3750,3,3,183,7,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0
68,0,93.0,10,2,2,1,5,1,1,106.7,187.5,70.3,54.9,3495,3,3,183,7,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0
69,-1,93.0,10,2,2,2,3,1,1,115.6,202.6,71.7,56.3,3770,3,3,183,7,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0
70,-1,115.0,10,1,1,2,3,1,1,115.6,202.6,71.7,56.5,3740,2,7,234,1,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0
71,3,142.0,10,1,1,1,1,1,1,96.6,180.3,70.5,50.8,3685,2,7,234,1,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0
72,0,115.0,10,1,1,2,3,1,1,120.9,208.1,71.7,56.7,3900,2,7,308,1,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0
73,1,115.0,10,1,1,1,5,1,1,112.0,199.2,72.0,55.4,3715,2,7,304,1,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0
74,1,115.0,11,1,2,1,2,1,1,102.7,178.4,68.0,54.8,2910,3,1,140,1,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0
75,2,161.0,12,1,1,1,2,2,1,93.7,157.3,64.4,50.8,1918,3,1,92,2,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0
76,2,161.0,12,1,1,1,2,2,1,93.7,157.3,64.4,50.8,1944,3,1,92,2,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0
77,2,161.0,12,1,1,1,2,2,1,93.7,157.3,64.4,50.8,2004,3,1,92,2,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0
78,1,161.0,12,1,2,1,2,2,1,93.0,157.3,63.8,50.8,2145,3,1,98,8,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0
79,3,153.0,12,1,2,1,2,2,1,96.3,173.0,65.4,49.4,2370,3,1,110,8,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0
80,3,153.0,12,1,1,1,2,2,1,96.3,173.0,65.4,49.4,2328,3,1,122,2,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0
81,3,115.0,12,1,2,1,2,2,1,95.9,173.2,66.3,50.2,2833,3,1,156,8,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0
82,3,115.0,12,1,2,1,2,2,1,95.9,173.2,66.3,50.2,2921,3,1,156,8,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0
83,3,115.0,12,1,2,1,2,2,1,95.9,173.2,66.3,50.2,2926,3,1,156,8,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0
84,1,125.0,12,1,1,2,3,2,1,96.3,172.4,65.4,51.6,2365,3,1,122,2,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0
85,1,125.0,12,1,1,2,3,2,1,96.3,172.4,65.4,51.6,2405,3,1,122,2,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0
86,1,125.0,12,1,2,2,3,2,1,96.3,172.4,65.4,51.6,2403,3,1,110,8,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0
87,-1,137.0,12,1,1,2,3,2,1,96.3,172.4,65.4,51.6,2403,3,1,110,8,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0
88,1,128.0,13,1,1,1,3,2,1,94.5,165.3,63.8,54.5,1889,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0
89,1,128.0,13,2,1,1,3,2,1,94.5,165.3,63.8,54.5,2017,3,1,103,7,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0
90,1,128.0,13,1,1,1,3,2,1,94.5,165.3,63.8,54.5,1918,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0
91,1,122.0,13,1,1,2,3,2,1,94.5,165.3,63.8,54.5,1938,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0
92,1,103.0,13,1,1,2,4,2,1,94.5,170.2,63.8,53.5,2024,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0
93,1,128.0,13,1,1,1,3,2,1,94.5,165.3,63.8,54.5,1951,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0
94,1,128.0,13,1,1,1,2,2,1,94.5,165.6,63.8,53.3,2028,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0
95,1,122.0,13,1,1,2,3,2,1,94.5,165.3,63.8,54.5,1971,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0
96,1,103.0,13,1,1,2,4,2,1,94.5,170.2,63.8,53.5,2037,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0
97,2,168.0,13,1,1,1,5,2,1,95.1,162.4,63.8,53.3,2008,3,1,97,2,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0
98,0,106.0,13,1,1,2,2,2,1,97.2,173.4,65.2,54.7,2324,3,1,120,2,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0
99,0,106.0,13,1,1,2,3,2,1,97.2,173.4,65.2,54.7,2302,3,1,120,2,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0
100,0,128.0,13,1,1,2,3,2,1,100.4,181.7,66.5,55.1,3095,2,2,181,1,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0
101,0,108.0,13,1,1,2,4,2,1,100.4,184.6,66.5,56.1,3296,2,2,181,1,3.43,3.27,9.0,152.0,5200.0,17,22,14399.0
102,0,108.0,13,1,1,2,3,2,1,100.4,184.6,66.5,55.1,3060,2,2,181,1,3.43,3.27,9.0,152.0,5200.0,19,25,13499.0
103,3,194.0,13,1,1,1,2,1,1,91.3,170.7,67.9,49.7,3071,2,2,181,1,3.43,3.27,9.0,160.0,5200.0,19,25,17199.0
104,3,194.0,13,1,2,1,2,1,1,91.3,170.7,67.9,49.7,3139,2,2,181,1,3.43,3.27,7.8,200.0,5200.0,17,23,19699.0
105,1,231.0,13,1,1,1,2,1,1,99.2,178.5,67.9,49.7,3139,2,2,181,1,3.43,3.27,9.0,160.0,5200.0,19,25,18399.0
106,0,161.0,14,1,1,2,3,1,1,107.9,186.7,68.4,56.7,3020,4,1,120,1,3.46,3.19,8.4,97.0,5000.0,19,24,11900.0
107,0,161.0,14,2,2,2,3,1,1,107.9,186.7,68.4,56.7,3197,4,1,152,7,3.7,3.52,21.0,95.0,4150.0,28,33,13200.0
108,0,115.0,14,1,1,2,4,1,1,114.2,198.9,68.4,58.7,3230,4,1,120,1,3.46,3.19,8.4,97.0,5000.0,19,24,12440.0
109,0,115.0,14,2,2,2,4,1,1,114.2,198.9,68.4,58.7,3430,4,1,152,7,3.7,3.52,21.0,95.0,4150.0,25,25,13860.0
110,0,161.0,14,1,1,2,3,1,1,107.9,186.7,68.4,56.7,3075,4,1,120,1,3.46,2.19,8.4,95.0,5000.0,19,24,15580.0
111,0,161.0,14,2,2,2,3,1,1,107.9,186.7,68.4,56.7,3252,4,1,152,7,3.7,3.52,21.0,95.0,4150.0,28,33,16900.0
112,0,115.0,14,1,1,2,4,1,1,114.2,198.9,68.4,56.7,3285,4,1,120,1,3.46,2.19,8.4,95.0,5000.0,19,24,16695.0
113,0,115.0,14,2,2,2,4,1,1,114.2,198.9,68.4,58.7,3485,4,1,152,7,3.7,3.52,21.0,95.0,4150.0,25,25,17075.0
114,0,161.0,14,1,1,2,3,1,1,107.9,186.7,68.4,56.7,3075,4,1,120,1,3.46,3.19,8.4,97.0,5000.0,19,24,16630.0
115,0,161.0,14,2,2,2,3,1,1,107.9,186.7,68.4,56.7,3252,4,1,152,7,3.7,3.52,21.0,95.0,4150.0,28,33,17950.0
116,0,161.0,14,1,2,2,3,1,1,108.0,186.7,68.3,56.0,3130,4,1,134,1,3.61,3.21,7.0,142.0,5600.0,18,24,18150.0
117,1,119.0,15,1,1,1,2,2,1,93.7,157.3,63.8,50.8,1918,3,1,90,2,2.97,3.23,9.4,68.0,5500.0,37,41,5572.0
118,1,119.0,15,1,2,1,2,2,1,93.7,157.3,63.8,50.8,2128,3,1,98,8,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0
119,1,154.0,15,1,1,2,2,2,1,93.7,157.3,63.8,50.6,1967,3,1,90,2,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0
120,1,154.0,15,1,1,2,3,2,1,93.7,167.3,63.8,50.8,1989,3,1,90,2,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0
121,1,154.0,15,1,1,2,3,2,1,93.7,167.3,63.8,50.8,2191,3,1,98,2,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0
122,-1,74.0,15,1,1,2,4,2,1,103.3,174.6,64.6,59.8,2535,3,1,122,2,3.35,3.46,8.5,88.0,5000.0,24,30,8921.0
123,3,115.0,15,1,2,1,2,1,1,95.9,173.2,66.3,50.2,2818,3,1,156,8,3.59,3.86,7.0,145.0,5000.0,19,24,12764.0
124,3,186.0,16,1,1,1,2,1,1,94.5,168.9,68.3,50.2,2778,3,1,151,1,3.94,3.11,9.5,143.0,5500.0,19,27,22018.0
125,3,115.0,16,1,1,1,5,1,2,89.5,168.9,65.0,51.6,2756,6,2,194,1,3.74,2.9,9.5,207.0,5900.0,17,25,32528.0
126,3,115.0,16,1,1,1,5,1,2,89.5,168.9,65.0,51.6,2756,6,2,194,1,3.74,2.9,9.5,207.0,5900.0,17,25,34028.0
127,3,115.0,16,1,1,1,1,1,2,89.5,168.9,65.0,51.6,2800,6,2,194,1,3.74,2.9,9.5,207.0,5900.0,17,25,37028.0
131,3,150.0,18,1,1,1,2,2,1,99.1,186.6,66.5,56.1,2658,3,1,121,1,3.54,3.07,9.31,110.0,5250.0,21,28,11850.0
132,2,104.0,18,1,1,2,3,2,1,99.1,186.6,66.5,56.1,2695,3,1,121,1,3.54,3.07,9.3,110.0,5250.0,21,28,12170.0
133,3,150.0,18,1,1,1,2,2,1,99.1,186.6,66.5,56.1,2707,3,1,121,1,2.54,2.07,9.3,110.0,5250.0,21,28,15040.0
134,2,104.0,18,1,1,2,3,2,1,99.1,186.6,66.5,56.1,2758,3,1,121,1,3.54,3.07,9.3,110.0,5250.0,21,28,15510.0
135,3,150.0,18,1,2,1,2,2,1,99.1,186.6,66.5,56.1,2808,1,1,121,1,3.54,3.07,9.0,160.0,5500.0,19,26,18150.0
136,2,104.0,18,1,2,2,3,2,1,99.1,186.6,66.5,56.1,2847,1,1,121,1,3.54,3.07,9.0,160.0,5500.0,19,26,18620.0
137,2,83.0,19,1,1,1,2,2,1,93.7,156.9,63.4,53.7,2050,6,1,97,2,3.62,2.36,9.0,69.0,4900.0,31,36,5118.0
138,2,83.0,19,1,1,1,2,2,1,93.7,157.9,63.6,53.7,2120,6,1,108,2,3.62,2.64,8.7,73.0,4400.0,26,31,7053.0
139,2,83.0,19,1,1,1,2,3,1,93.3,157.3,63.8,55.7,2240,6,1,108,2,3.62,2.64,8.7,73.0,4400.0,26,31,7603.0
140,0,102.0,19,1,1,2,3,2,1,97.2,172.0,65.4,52.5,2145,6,1,108,2,3.62,2.64,9.5,82.0,4800.0,32,37,7126.0
141,0,102.0,19,1,1,2,3,2,1,97.2,172.0,65.4,52.5,2190,6,1,108,2,3.62,2.64,9.5,82.0,4400.0,28,33,7775.0
142,0,102.0,19,1,1,2,3,2,1,97.2,172.0,65.4,52.5,2340,6,1,108,1,3.62,2.64,9.0,94.0,5200.0,26,32,9960.0
143,0,102.0,19,1,1,2,3,3,1,97.0,172.0,65.4,54.3,2385,6,1,108,2,3.62,2.64,9.0,82.0,4800.0,24,25,9233.0
144,0,102.0,19,1,2,2,3,3,1,97.0,172.0,65.4,54.3,2510,6,1,108,1,3.62,2.64,7.7,111.0,4800.0,24,29,11259.0
145,0,89.0,19,1,1,2,4,2,1,97.0,173.5,65.4,53.0,2290,6,1,108,2,3.62,2.64,9.0,82.0,4800.0,28,32,7463.0
146,0,89.0,19,1,1,2,4,2,1,97.0,173.5,65.4,53.0,2455,6,1,108,1,3.62,2.64,9.0,94.0,5200.0,25,31,10198.0
147,0,85.0,19,1,1,2,4,3,1,96.9,173.6,65.4,54.9,2420,6,1,108,2,3.62,2.64,9.0,82.0,4800.0,23,29,8013.0
148,0,85.0,19,1,2,2,4,3,1,96.9,173.6,65.4,54.9,2650,6,1,108,1,3.62,2.64,7.7,111.0,4800.0,23,23,11694.0
149,1,87.0,20,1,1,1,2,2,1,95.7,158.7,63.6,54.5,1985,3,1,92,2,3.05,3.03,9.0,62.0,4800.0,35,39,5348.0
150,1,87.0,20,1,1,1,2,2,1,95.7,158.7,63.6,54.5,2040,3,1,92,2,3.05,3.03,9.0,62.0,4800.0,31,38,6338.0
151,1,74.0,20,1,1,2,2,2,1,95.7,158.7,63.6,54.5,2015,3,1,92,2,3.05,3.03,9.0,62.0,4800.0,31,38,6488.0
152,0,77.0,20,1,1,2,4,2,1,95.7,169.7,63.6,59.1,2280,3,1,92,2,3.05,3.03,9.0,62.0,4800.0,31,37,6918.0
153,0,81.0,20,1,1,2,4,3,1,95.7,169.7,63.6,59.1,2290,3,1,92,2,3.05,3.03,9.0,62.0,4800.0,27,32,7898.0
154,0,91.0,20,1,1,2,4,3,1,95.7,169.7,63.6,59.1,3110,3,1,92,2,3.05,3.03,9.0,62.0,4800.0,27,32,8778.0
155,0,91.0,20,1,1,2,3,2,1,95.7,166.3,64.4,53.0,2081,3,1,98,2,3.19,3.03,9.0,70.0,4800.0,30,37,6938.0
156,0,91.0,20,1,1,2,2,2,1,95.7,166.3,64.4,52.8,2109,3,1,98,2,3.19,3.03,9.0,70.0,4800.0,30,37,7198.0
157,0,91.0,20,2,1,2,3,2,1,95.7,166.3,64.4,53.0,2275,3,1,110,7,3.27,3.35,22.5,56.0,4500.0,34,36,7898.0
158,0,91.0,20,2,1,2,2,2,1,95.7,166.3,64.4,52.8,2275,3,1,110,7,3.27,3.35,22.5,56.0,4500.0,38,47,7788.0
159,0,91.0,20,1,1,2,3,2,1,95.7,166.3,64.4,53.0,2094,3,1,98,2,3.19,3.03,9.0,70.0,4800.0,38,47,7738.0
160,0,91.0,20,1,1,2,2,2,1,95.7,166.3,64.4,52.8,2122,3,1,98,2,3.19,3.03,9.0,70.0,4800.0,28,34,8358.0
161,0,91.0,20,1,1,2,3,2,1,95.7,166.3,64.4,52.8,2140,3,1,98,2,3.19,3.03,9.0,70.0,4800.0,28,34,9258.0
162,1,168.0,20,1,1,1,3,1,1,94.5,168.7,64.0,52.6,2169,3,1,98,2,3.19,3.03,9.0,70.0,4800.0,29,34,8058.0
163,1,168.0,20,1,1,1,2,1,1,94.5,168.7,64.0,52.6,2204,3,1,98,2,3.19,3.03,9.0,70.0,4800.0,29,34,8238.0
164,1,168.0,20,1,1,1,3,1,1,94.5,168.7,64.0,52.6,2265,1,1,98,1,3.24,3.08,9.4,112.0,6600.0,26,29,9298.0
165,1,168.0,20,1,1,1,2,1,1,94.5,168.7,64.0,52.6,2300,1,1,98,1,3.24,3.08,9.4,112.0,6600.0,26,29,9538.0
166,2,134.0,20,1,1,1,5,1,1,98.4,176.2,65.6,52.0,2540,3,1,146,1,3.62,3.5,9.3,116.0,4800.0,24,30,8449.0
167,2,134.0,20,1,1,1,5,1,1,98.4,176.2,65.6,52.0,2536,3,1,146,1,3.62,3.5,9.3,116.0,4800.0,24,30,9639.0
168,2,134.0,20,1,1,1,2,1,1,98.4,176.2,65.6,52.0,2551,3,1,146,1,3.62,3.5,9.3,116.0,4800.0,24,30,9989.0
169,2,134.0,20,1,1,1,5,1,1,98.4,176.2,65.6,52.0,2679,3,1,146,1,3.62,3.5,9.3,116.0,4800.0,24,30,11199.0
170,2,134.0,20,1,1,1,2,1,1,98.4,176.2,65.6,52.0,2714,3,1,146,1,3.62,3.5,9.3,116.0,4800.0,24,30,11549.0
171,2,134.0,20,1,1,1,1,1,1,98.4,176.2,65.6,53.0,2975,3,1,146,1,3.62,3.5,9.3,116.0,4800.0,24,30,17669.0
172,-1,65.0,20,1,1,2,3,2,1,102.4,175.6,66.5,54.9,2326,3,1,122,1,3.31,3.54,8.7,92.0,4200.0,29,34,8948.0
173,-1,65.0,20,2,2,2,3,2,1,102.4,175.6,66.5,54.9,2480,3,1,110,7,3.27,3.35,22.5,73.0,4500.0,30,33,10698.0
174,-1,65.0,20,1,1,2,2,2,1,102.4,175.6,66.5,53.9,2414,3,1,122,1,3.31,3.54,8.7,92.0,4200.0,27,32,9988.0
175,-1,65.0,20,1,1,2,3,2,1,102.4,175.6,66.5,54.9,2414,3,1,122,1,3.31,3.54,8.7,92.0,4200.0,27,32,10898.0
176,-1,65.0,20,1,1,2,2,2,1,102.4,175.6,66.5,53.9,2458,3,1,122,1,3.31,3.54,8.7,92.0,4200.0,27,32,11248.0
177,3,197.0,20,1,1,1,2,1,1,102.9,183.5,67.7,52.0,2976,1,2,171,1,3.27,3.35,9.3,161.0,5200.0,20,24,16558.0
178,3,197.0,20,1,1,1,2,1,1,102.9,183.5,67.7,52.0,3016,1,2,171,1,3.27,3.35,9.3,161.0,5200.0,19,24,15998.0
179,-1,90.0,20,1,1,2,3,1,1,104.5,187.8,66.5,54.1,3131,1,2,171,1,3.27,3.35,9.2,156.0,5200.0,20,24,15690.0
180,-1,115.0,20,1,1,2,4,1,1,104.5,187.8,66.5,54.1,3151,1,2,161,1,3.27,3.35,9.2,156.0,5200.0,19,24,15750.0
181,2,122.0,21,2,1,1,3,2,1,97.3,171.7,65.5,55.7,2261,3,1,97,7,3.01,3.4,23.0,52.0,4800.0,37,46,7775.0
182,2,122.0,21,1,1,1,3,2,1,97.3,171.7,65.5,55.7,2209,3,1,109,1,3.19,3.4,9.0,85.0,5250.0,27,34,7975.0
